id,userid,relation,landmark,geometry_type,geometry
5f383cb3d4cca3000418f47a,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,ENTRE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.870720271966036, -7.232369247765311],[-35.87092415482651, -7.232518256385228],[-35.87014081541525, -7.233513419835743],[-35.86994766323165, -7.233343124641493],[-35.870720271966036, -7.232369247765311]]]}"
5f383d09d4cca3000418f47b,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,ENTRE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8699532448649, -7.234045591903667],[-35.869566940497705, -7.233795471109893],[-35.868311451304336, -7.23526958527878],[-35.86855825687226, -7.235466488250924],[-35.8699532448649, -7.234045591903667]]]}"
5f389d54b443d0000407f8c6,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA RUA - PERTO DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.878104865551, -7.223133278247893],[-35.87806731462479, -7.223178513937465],[-35.87756037712098, -7.222827271993624],[-35.87760865688325, -7.22275808794222],[-35.878104865551, -7.223133278247893]]]}"
5f389d72b443d0000407f8c7,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA RUA - PERTO DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87822556495667, -7.2232237496225205],[-35.87817996740342, -7.223268985303047],[-35.8775281906128, -7.222792679969252],[-35.87757915258408, -7.222739461465024],[-35.87822556495667, -7.2232237496225205]]]}"
5f389dbdb443d0000407f8c8,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA RUA - PERTO DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.870168209075935, -7.233066394813837],[-35.87034523487092, -7.233210081476298],[-35.868880748748786, -7.234966248099551],[-35.868676900863655, -7.234881100784522],[-35.870168209075935, -7.233066394813837]]]}"
5f389ddab443d0000407f8c9,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA RUA - PERTO DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.869894623756416, -7.23336973326983],[-35.87009847164155, -7.23350809811188],[-35.868934392929084, -7.234923674444046],[-35.86872518062592, -7.2348119185792275],[-35.869905352592475, -7.233380376720724],[-35.869905352592475, -7.233380376720724],[-35.869894623756416, -7.23336973326983]]]}"
5f389deeb443d0000407f8ca,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA FRENTE DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879395008087165, -7.2240486348502],[-35.87934941053391, -7.224104514117634],[-35.87906241416932, -7.2239288935395685],[-35.87910532951356, -7.223859709656748],[-35.879395008087165, -7.2240486348502]]]}"
5f389df8b443d0000407f8cb,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA FRENTE DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879537165164955, -7.224139106041628],[-35.87950766086579, -7.2241976462146695],[-35.87927162647248, -7.224051295767842],[-35.87933868169785, -7.224008721083505],[-35.879537165164955, -7.224139106041628]]]}"
5f389e07b443d0000407f8cc,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA FRENTE DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.870146751403816, -7.233404324484318],[-35.869795382022865, -7.233832723151784],[-35.869647860527046, -7.233731610459473],[-35.86999654769898, -7.233303211696056],[-35.87014943361283, -7.2334016636217635],[-35.870146751403816, -7.233404324484318]]]}"
5f389e2eb443d0000407f8cd,9e4187ab-dbd0-4ec4-9eaf-3418b67dbeac,NA FRENTE DE,Localiza Hertz,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.870047509670265, -7.233521402421398],[-35.869795382022865, -7.233838044871806],[-35.869653224945075, -7.2337236278775325],[-35.86990803480149, -7.233404324484318],[-35.870047509670265, -7.233521402421398]],[[-35.8700716495514, -7.234074861349204],[-35.87002336978913, -7.234106791651253],[-35.86978197097779, -7.233891262068558],[-35.869795382022865, -7.233838044871806],[-35.8700716495514, -7.234074861349204]]]]}"
